sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2009-12-30;968,24;951,54;951,72;0,00;1;7285966895;
2009-12-29;969,17;963,89;965,80;0,00;1;5514259948;
2009-12-28;969,42;961,37;965,05;0,00;1;4007306146;
2009-12-23;967,01;960,28;961,54;0,00;1;5218561417;
2009-12-22;963,22;948,56;961,88;0,00;1;9209231864;
2009-12-21;949,76;935,91;948,38;0,00;1;8538099964;
2009-12-18;950,19;935,81;936,03;0,00;1;10404924612;
2009-12-17;959,18;946,48;946,58;0,00;1;9840426307;
2009-12-16;960,18;949,37;959,60;0,00;1;9226890163;
2009-12-15;957,82;942,62;949,07;0,00;1;9120602925;
2009-12-14;960,58;950,49;956,25;0,00;1;8096210413;
2009-12-11;956,85;947,81;949,84;0,00;1;10019330474;
2009-12-10;952,53;943,74;947,33;0,00;1;9241942377;
2009-12-09;956,05;941,22;944,95;0,00;1;10891439787;
2009-12-08;973,27;948,55;953,48;0,00;1;13382224564;
2009-12-07;971,85;959,84;966,14;0,00;1;10490579966;
2009-12-04;973,58;949,14;966,97;0,00;1;13263867269;
2009-12-03;965,82;954,64;954,64;0,00;1;11936510281;
2009-12-02;957,89;945,69;957,10;0,00;1;11282030299;
2009-12-01;954,97;937,39;953,88;0,00;1;11701655111;
2009-11-30;957,98;936,19;936,19;0,00;1;11191507720;
2009-11-27;953,57;926,63;952,53;0,00;1;10571377805;
2009-11-26;970,64;939,01;939,68;0,00;1;9653573288;
2009-11-25;974,48;963,18;971,42;0,00;1;10246674657;
2009-11-24;976,16;965,54;965,54;0,00;1;10793470707;
2009-11-23;976,60;951,69;975,47;0,00;1;11896187669;
2009-11-20;959,25;947,39;951,57;0,00;1;8513305307;
2009-11-19;965,92;949,21;951,44;0,00;1;9331417894;
2009-11-18;972,35;964,70;965,88;0,00;1;9563121010;
2009-11-17;974,65;963,76;964,52;0,00;1;9194595208;
2009-11-16;975,52;967,34;975,01;0,00;1;11062209564;
2009-11-13;971,53;962,36;967,44;0,00;1;8594533816;
2009-11-12;976,86;963,32;970,36;0,00;1;11049406955;
2009-11-11;968,14;958,46;964,55;0,00;1;9211628581;
2009-11-10;961,72;953,57;957,98;0,00;1;10277613221;
2009-11-09;961,11;941,54;960,46;0,00;1;8710967160;
2009-11-06;950,18;934,24;941,48;0,00;1;11083324366;
2009-11-05;950,26;926,82;944,22;0,00;1;14010028528;
2009-11-04;938,39;919,33;937,42;0,00;1;11626147892;
2009-11-03;931,17;916,79;919,27;0,00;1;13100247162;
2009-11-02;942,34;923,58;932,06;0,00;1;13146136887;
2009-10-30;949,49;938,99;944,67;0,00;1;10465639402;
2009-10-29;939,87;915,65;939,82;0,00;1;16453414247;
2009-10-28;936,41;916,15;924,27;0,00;1;18468494529;
2009-10-27;934,40;918,22;929,54;0,00;1;13716986993;
2009-10-26;940,12;915,79;918,24;0,00;1;12762036174;
2009-10-23;942,87;930,23;932,29;0,00;;13847226380;
2009-10-22;933,62;920,33;927,47;0,00;;15799656240;
2009-10-21;946,09;926,31;940,22;0,00;;13002843140;
2009-10-20;950,89;938,18;942,67;0,00;;13994445064;
2009-10-19;945,51;927,40;941,67;0,00;;9980070118;
2009-10-16;938,63;927,12;927,76;0,00;;12304649459;
2009-10-15;935,98;926,13;927,05;0,00;;13128934140;
2009-10-14;929,54;903,20;928,59;0,00;;16577199853;
2009-10-13;912,93;900,59;903,03;0,00;;9542986439;
2009-10-12;915,04;899,64;910,79;0,00;;8788435419;
2009-10-09;903,97;892,93;899,70;0,00;;9448088498;
2009-10-08;897,16;886,03;895,35;0,00;;10039442966;
2009-10-07;895,57;882,78;885,43;0,00;;10190303443;
2009-10-06;894,68;876,66;891,88;0,00;;11538602080;
2009-10-05;881,83;865,69;876,43;0,00;;8299740335;
2009-10-02;877,61;859,88;867,84;0,00;;12921856705;
2009-10-01;902,51;877,01;878,33;0,00;;11929216645;
2009-09-30;912,33;892,54;896,76;0,00;;12766673254;
2009-09-29;917,64;902,22;902,82;0,00;;10330152944;
2009-09-28;917,23;889,37;913,55;0,00;;10875386898;
2009-09-25;907,64;895,76;899,87;0,00;;9615570218;
2009-09-24;922,75;900,07;901,87;0,00;;13944797486;
2009-09-23;928,94;920,15;922,99;0,00;;10868973246;
2009-09-22;923,73;912,93;922,24;0,00;;10288534140;
2009-09-21;920,26;910,50;913,05;0,00;;9041927697;
2009-09-18;923,47;909,23;920,23;0,00;;11120390443;
2009-09-17;929,59;918,95;923,82;0,00;;12913402152;
2009-09-16;925,27;913,55;918,44;0,00;;11327162846;
2009-09-15;919,99;909,27;913,07;0,00;;11301069775;
2009-09-14;917,22;901,16;914,31;0,00;;9212956887;
2009-09-11;921,15;913,40;918,19;0,00;;9482822788;
2009-09-10;926,68;909,54;916,53;0,00;;13220496857;
2009-09-09;921,75;901,00;921,48;0,00;;13418783191;
2009-09-08;908,86;900,67;905,68;0,00;;11222658553;
2009-09-07;903,75;892,35;903,62;0,00;;7160184000;
2009-09-04;893,48;879,16;891,39;0,00;;11079825969;
2009-09-03;888,19;871,84;879,28;0,00;;11962030372;
2009-09-02;889,30;867,88;873,35;0,00;;14562467636;
2009-09-01;911,18;884,76;888,50;0,00;;12625184526;
2009-08-31;919,67;901,72;904,84;0,00;;8484369591;
2009-08-28;923,28;902,31;919,91;0,00;;14184157863;
2009-08-27;909,18;894,90;901,95;0,00;;11226170629;
2009-08-26;921,41;901,60;902,79;0,00;;12543133884;
2009-08-25;921,03;908,97;916,06;0,00;;12258858286;
2009-08-24;925,03;912,40;921,63;0,00;;12028086135;
2009-08-21;917,18;884,08;913,84;0,00;;14702127785;
2009-08-20;889,07;869,72;886,46;0,00;;12233432849;
2009-08-19;872,74;857,37;869,23;0,00;;10283188702;
2009-08-18;876,58;858,63;873,10;0,00;;10533303312;
2009-08-17;876,74;853,26;858,15;0,00;;9711446993;
2009-08-14;894,29;871,08;876,74;0,00;;8255027911;
2009-08-13;898,16;876,95;888,87;0,00;;11256029612;
2009-08-12;877,41;859,27;876,71;0,00;;9163108178;
2009-08-11;890,80;861,74;864,03;0,00;;12189120635;
2009-08-10;892,19;880,50;883,14;0,00;;6965801910;
2009-08-07;893,96;864,08;892,19;0,00;;9787662992;
